"","AUC"
"X95",0.67578125
"X105",0.55859375
"X106",0.53125
"X140",0.6796875
"X174",0.703125
"X176",0.66796875
"X196",0.54296875
"X199",0.95703125
"X212",0.55859375
"X241",0.7265625
"X264",0.7421875
"X265",0.51953125
"X267",0.546875
"X279",0.734375
"X285",0.71875
"X286",0.50390625
"X289",0.62890625
"X324",0.7734375
"X329",0.61328125
"X330",0.6328125
"X344",0.78125
"X365",0.53125
"X417",0.59375
"X436",0.5546875
"X448",0.94921875
"X463",0.7265625
"X465",0.78125
"X471",0.55078125
"X477",0.5390625
"X484",0.625
"X493",0.81640625
"X513",0.6875
"X515",0.54296875
"X517",0.60546875
"X520",0.54296875
"X528",0.5234375
"X533",0.67578125
"X535",0.5078125
"X536",0.9609375
"X545",0.51171875
"X580",0.69140625
"X589",0.65234375
"X591",0.58984375
"X596",0.60546875
"X625",0.71875
"X644",0.94140625
"X646",1
"X654",0.53125
"X663",0.80859375
"X669",0.55859375
"X674",0.8203125
"X725",0.6796875
"X788",0.55859375
"X792",0.8359375
"X796",0.8046875
"X813",0.72265625
"X814",0.67578125
"X817",0.69140625
"X820",0.6171875
"X829",0.56640625
"X831",0.8515625
"X862",0.5078125
"X867",0.76171875
"X868",0.62109375
"X869",0.62109375
"X884",0.5078125
"X886",0.6015625
"X898",0.75390625
"X899",0.515625
"X919",0.5390625
"X950",0.55859375
"X951",0.67578125
"X954",0.5546875
"X990",0.703125
"X995",0.60546875
"X997",0.76171875
"X1015",0.69921875
"X1016",0.6953125
"X1029",0.578125
"X1045",0.64453125
"X1050",0.57421875
"X1051",0.56640625
"X1055",0.69140625
"X1070",0.5703125
"X1072",0.6484375
"X1090",0.5625
"X1103",0.5078125
"X1114",0.58984375
"X1116",0.578125
"X1128",0.57421875
"X1130",0.96484375
"X1134",0.5078125
"X1154",0.66796875
"X1159",0.68359375
"X1167",0.66796875
"X1186",0.546875
"X1188",0.69140625
"X1212",0.7265625
"X1213",0.54296875
"X1221",0.6484375
"X1222",0.67578125
"X1226",0.703125
"X1228",0.6484375
"X1237",0.6171875
"X1256",0.5703125
"X1264",0.65625
"X1268",0.59765625
"X1269",0.66015625
"X1271",0.98046875
"X1284",0.53125
"X1285",0.5078125
"X1292",0.54296875
"X1298",0.51953125
"X1303",0.64453125
"X1320",0.54296875
"X1325",0.8515625
"X1329",0.6640625
"X1332",0.6875
"X1336",0.5078125
"X1348",0.859375
"X1349",0.57421875
"X1350",0.90625
"X1364",0.8515625
"X1380",0.578125
"X1386",0.546875
"X1389",0.734375
"X1410",0.53125
"X1413",0.625
"X1415",0.6953125
"X1425",0.95703125
"X1444",0.50390625
"X1445",0.52734375
"X1453",0.5234375
"X1475",0.578125
"X1484",0.58984375
"X1506",0.5234375
"X1510",0.9375
"X1511",0.61328125
"X1513",0.55078125
"X1514",0.69140625
"X1534",0.578125
"X1557",0.6015625
"X1595",0.515625
"X1601",0.53125
"X1607",0.53125
"X1618",0.875
"X1649",0.8515625
"X1658",0.7578125
"X1694",0.671875
"X1696",0.7421875
"X1739",0.5546875
"X1741",0.55859375
"X1774",0.5625
"X1775",0.66796875
"X1776",0.52734375
"X1785",0.73828125
"X1800",0.63671875
"X1812",0.72265625
"X1813",0.6484375
"X1832",0.5546875
"X1836",0.5625
"X1837",0.53125
"X1847",0.85546875
"X1862",0.50390625
"X1868",0.734375
"X1870",0.921875
"X1882",0.765625
"X1892",0.53125
"X1893",0.70703125
"X1896",0.9609375
"X1898",0.5
"X1911",0.79296875
"X1921",0.53515625
"X1928",0.89453125
"X1942",0.69921875
"X1949",0.5546875
"X1951",0.546875
"X1952",0.6328125
"X1955",0.79296875
"X1957",0.6171875
"X1959",0.7578125
"X1960",0.5078125
"X1964",0.87890625
"X1979",0.7421875
"X1991",0.8046875
"X2020",0.54296875
"X2027",0.640625
"X2028",1
"X2029",0.76171875
"X2035",1
"X2078",0.734375
"X2079",0.65234375
"X2086",0.53515625
"X2094",0.546875
"X2095",0.7890625
"X2104",0.8671875
"X2111",0.640625
"X2116",0.6015625
"X2128",0.75
"X2133",0.6171875
"X2153",0.59765625
"X2154",0.609375
"X2164",0.5703125
"X2183",0.67578125
"X2190",0.70703125
"X2194",0.62890625
"X2203",0.84765625
"X2205",0.53125
"X2216",0.72265625
"X2222",0.58203125
"X2240",0.6484375
"X2248",0.578125
"X2249",0.5390625
"X2257",0.515625
"X2272",0.6328125
"X2273",0.55859375
"X2288",0.6328125
"X2291",0.67578125
"X2294",0.6953125
"X2304",0.72265625
"X2306",0.5078125
"X2310",0.546875
"X2322",0.6484375
"X2328",0.54296875
"X2331",0.5625
"X2332",0.87109375
"X2335",0.5234375
"X2339",0.7265625
"X2351",0.6484375
"X2365",0.7421875
"X2370",0.546875
"X2371",1
"X2374",0.50390625
"X2383",0.5625
"X2393",1
"X2398",0.72265625
"X2403",0.5703125
"X2404",0.7578125
"X2411",0.609375
"X2420",0.5234375
"X2427",0.546875
"X2458",0.5546875
"X2470",0.51171875
"X2474",0.73828125
"X2500",0.546875
"X2505",0.6015625
"X2510",0.5390625
"X2519",0.55859375
"X2520",0.9609375
"X2523",0.52734375
"X2529",0.62109375
"X2532",1
"X2546",0.76953125
"X2547",0.85546875
"X2554",0.83203125
"X2578",0.6640625
"X2586",0.98046875
"X2604",0.58203125
"X2611",0.66015625
"X2616",0.5078125
"X2622",1
"X2627",0.6328125
"X2646",0.62890625
"X2650",0.58203125
"X2652",0.59375
"X2654",0.6953125
"X2668",0.5625
"X2670",0.54296875
"X2671",0.55859375
"X2704",0.65625
"X2713",0.66015625
"X2716",1
"X2731",0.609375
"X2733",0.6875
"X2742",0.7890625
"X2759",0.7578125
"X2763",0.69140625
"X2765",0.78125
"X2769",0.54296875
"X2777",0.9453125
"X2781",0.703125
"X2785",0.58203125
"X2790",0.7734375
"X2793",0.71875
"X2813",0.5546875
"X2819",0.5390625
"X2821",0.63671875
"X2831",0.71875
"X2836",0.51953125
"X2844",0.625
"X2848",0.625
"X2851",0.57421875
"X2852",0.609375
"X2863",0.640625
"X2867",0.63671875
"X2871",0.53125
"X2875",0.50390625
"X2882",0.9921875
"X2899",0.671875
"X2903",0.546875
"X2904",0.703125
"X2907",0.76953125
"X2908",0.87890625
"X2910",0.58203125
"X2921",0.67578125
"X2927",0.59765625
"X2928",0.62890625
"X2937",0.58203125
"X2941",0.58203125
"X2945",0.69921875
"X2948",0.54296875
"X2971",0.5546875
"X2977",0.65625
"X3009",0.73828125
"X3014",0.6328125
"X3015",0.76171875
"X3017",0.5078125
"X3037",0.78515625
"X3044",0.66015625
"X3050",0.7109375
"X3052",0.51953125
"X3055",0.81640625
"X3067",0.58984375
"X3074",1
"X3089",0.68359375
"X3094",0.65625
"X3096",1
"X3097",0.5859375
"X3101",0.5703125
"X3106",0.5625
"X3116",0.5
"X3129",0.50390625
"X3130",1
"X3132",0.58203125
"X3136",0.703125
"X3170",1
"X3178",0.5078125
"X3184",0.62890625
"X3185",0.83984375
"X3198",0.62109375
"X3222",0.640625
"X3227",0.546875
"X3232",0.65234375
"X3243",0.58984375
"X3248",0.546875
"X3257",1
"X3259",0.67578125
"X3266",0.77734375
"X3269",0.5625
"X3280",0.66015625
"X3294",0.50390625
"X3309",0.98046875
"X3313",0.53125
"X3349",0.63671875
"X3356",0.56640625
"X3364",0.75
"X3391",0.66015625
"X3398",0.89453125
"X3427",0.5625
"X3430",0.65625
"X3439",0.60546875
"X3442",0.63671875
"X3448",0.5234375
"X3472",1
"X3483",0.6484375
"X3487",0.70703125
"X3494",0.5390625
"X3495",0.7109375
"X3508",0.53125
"X3529",0.58203125
"X3533",0.82421875
"X3537",0.58203125
"X3544",0.84375
"X3547",0.62109375
"X3552",0.5234375
"X3561",0.96875
"X3580",0.5859375
"X3590",0.765625
"X3594",0.5390625
"X3614",0.83984375
"X3615",0.57421875
"X3620",0.9140625
"X3621",0.76953125
"X3680",0.640625
"X3682",0.6796875
"X3690",0.53125
"X3697",0.53125
"X3698",0.5625
"X3701",0.94140625
"X3725",0.52734375
"X3732",0.70703125
"X3733",0.53125
"X3749",0.6875
"X3752",0.67578125
"X3753",0.59375
"X3757",0.5234375
"X3760",1
"X3778",0.5625
"X3780",1
"X3784",0.7890625
"X3788",0.94921875
"X3791",0.99609375
"X3797",0.71875
"X3821",0.74609375
"X3838",0.51171875
"X3840",0.94921875
"X3854",0.68359375
"X3865",0.875
"X3874",0.7734375
"X3880",1
"X3881",1
"X3888",0.671875
"X3892",0.57421875
"X3894",0.68359375
"X3920",0.51953125
"X3928",0.59765625
"X3947",0.8359375
"X3962",0.55078125
"X3971",0.85546875
"X3982",0.55859375
"X3983",0.78125
"X3985",1
"X3987",0.67578125
"X3988",0.5234375
"X3995",0.59375
"X4004",0.53125
"X4036",0.5859375
"X4059",0.52734375
"X4062",0.91015625
"X4063",0.58984375
"X4064",0.62109375
"X4072",0.73046875
"X4074",0.50390625
"X4075",0.6484375
"X4080",0.6171875
"X4084",0.625
"X4107",0.671875
"X4109",0.69921875
"X4110",0.7734375
"X4119",0.7890625
"X4120",0.7890625
"X4142",0.65234375
"X4158",0.58203125
"X4163",0.51171875
"X4168",0.86328125
"X4169",0.5234375
"X4174",0.6796875
"X4184",1
"X4192",0.65234375
"X4197",0.55859375
"X4203",0.52734375
"X4208",0.66015625
"X4221",0.5078125
"X4233",0.5390625
"X4238",0.515625
"X4243",0.72265625
"X4246",0.56640625
"X4249",0.55078125
"X4255",0.515625
"X4262",0.65234375
"X4271",0.8515625
"X4284",0.99609375
"X4298",0.71484375
"X4304",0.59375
"X4317",0.85546875
"X4318",0.7890625
"X4322",0.578125
"X4323",0.62890625
"X4326",0.53125
"X4331",0.5703125
"X4344",0.55859375
"X4354",0.625
"X4357",0.51953125
"X4375",0.8125
"X4377",0.57421875
"X4397",0.921875
"X4399",0.87109375
"X4415",0.55859375
"X4418",0.546875
"X4419",0.75390625
"X4420",0.71875
"X4421",0.609375
"X4424",1
"X4458",0.625
"X4460",0.5546875
"X4474",0.6953125
"X4475",1
"X4476",0.64453125
"X4499",0.79296875
"X4503",0.5078125
"X4512",0.5625
"X4516",0.8046875
"X4517",0.87109375
"X4547",0.50390625
"X4574",0.55859375
"X4585",0.53125
"X4588",0.71875
"X4596",0.6015625
"X4600",0.55859375
"X4606",0.61328125
"X4607",0.640625
"X4612",1
"X4616",0.8984375
"X4618",0.96484375
"X4619",0.5546875
"X4623",0.5078125
"X4626",0.62109375
"X4632",0.51171875
"X4634",0.5078125
"X4648",0.65625
"X4654",0.5390625
"X4690",0.7265625
"X4705",0.7421875
"X4712",0.75
"X4713",0.5546875
"X4724",0.7890625
"X4725",0.57421875
"X4727",0.50390625
"X4766",0.65625
"X4782",0.6171875
"X4792",0.859375
"X4802",0.625
"X4814",0.515625
"X4826",0.75390625
"X4828",0.68359375
"X4831",0.84375
"X4840",0.5
"X4856",0.71875
"X4858",0.77734375
"X4860",0.515625
"X4865",0.53125
"X4871",0.74609375
"X4874",0.7421875
"X4881",0.69140625
"X4884",0.82421875
"X4909",0.56640625
"X4912",0.55859375
"X4916",0.65625
"X4921",0.69140625
"X4927",0.5546875
"X4938",0.515625
"X4944",0.83203125
"X4950",0.96484375
"X4956",0.58203125
"X4969",0.6015625
"X4986",0.64453125
"X5008",0.60546875
"X5017",0.546875
"X5031",0.56640625
"X5032",1
"X5048",0.59765625
"X5057",0.6484375
"X5059",0.52734375
"X5083",0.54296875
"X5094",0.5625
"X5095",0.77734375
"X5097",0.73046875
"X5098",0.65625
"X5100",0.5234375
"X5104",1
"X5124",1
"X5133",0.53515625
"X5141",0.71484375
"X5143",0.60546875
"X5152",0.60546875
"X5197",0.98046875
"X5213",0.99609375
"X5219",0.54296875
"X5221",0.69140625
"X5245",0.7265625
"X5249",0.99609375
"X5253",0.87109375
"X5255",0.9921875
"X5260",0.5078125
"X5273",0.62109375
"X5299",0.921875
"X5301",1
"X5304",0.5078125
"X5308",0.6875
"X5312",0.64453125
"X5320",1
"X5359",0.6796875
"X5369",0.75390625
"X5370",0.84765625
"X5371",0.91796875
"X5372",0.578125
"X5374",1
"X5378",0.58984375
"X5384",0.59375
"X5395",0.52734375
"X5412",0.50390625
"X5421",0.5859375
"X5427",0.6328125
"X5432",0.7265625
"X5441",0.6796875
"X5451",0.5078125
"X5466",0.65625
"X5473",0.51953125
"X5475",0.71875
"X5480",0.640625
"X5481",0.84375
"X5482",0.7109375
"X5492",0.51953125
"X5493",0.859375
"X5496",0.5859375
"X5498",0.73828125
"X5509",0.578125
"X5518",0.76171875
"X5529",0.93359375
"X5576",0.515625
"X5578",0.62109375
"X5581",0.63671875
"X5583",0.6171875
"X5585",0.65234375
"X5593",0.6875
"X5597",0.58203125
"X5600",0.71484375
"X5603",0.9609375
"X5636",0.7265625
"X5641",0.81640625
"X5668",0.9140625
"X5687",0.86328125
"X5693",0.80078125
"X5694",0.84765625
"X5695",0.7109375
"X5714",0.765625
"X5716",0.5546875
"X5717",0.62109375
"X5722",0.7109375
"X5723",0.51953125
"X5726",0.76953125
"X5727",0.69140625
"X5730",0.984375
"X5732",0.5078125
"X5741",0.5546875
"X5770",0.58203125
"X5772",0.6953125
"X5783",0.73046875
"X5792",0.5546875
"X5797",0.83984375
"X5800",0.5859375
"X5805",0.921875
"X5814",0.6171875
"X5835",0.546875
"X5852",0.8828125
"X5859",0.7578125
"X5862",0.828125
"X5867",0.578125
"X5869",0.51171875
"X5882",0.55859375
"X5883",0.65625
"X5885",0.66796875
"X5895",0.66796875
"X5912",0.69921875
"X5919",0.61328125
"X5931",0.80078125
"X5932",0.6328125
"X5970",0.6015625
"X5971",0.55859375
"X5972",0.66796875
"X5973",0.7734375
"X6003",0.53515625
"X6014",0.71875
"X6019",0.734375
"X6029",0.79296875
"X6030",0.5234375
"X6052",0.93359375
"X6065",0.65234375
"X6066",0.59375
"X6067",0.6640625
"X6083",0.5625
"X6110",0.625
"X6111",0.515625
"X6119",1
"X6136",0.6328125
"X6139",0.6015625
"X6140",0.66796875
"X6143",0.60546875
"X6144",0.734375
"X6171",0.51953125
"X6190",0.59765625
"X6195",0.6171875
"X6197",0.52734375
"X6200",0.53125
"X6201",0.67578125
"X6217",0.73828125
"X6224",0.58984375
"X6239",0.52734375
"X6242",0.55078125
"X6249",0.6171875
"X6250",1
"X6259",0.80859375
"X6260",0.5546875
"X6265",0.671875
"X6266",0.7109375
"X6273",0.625
"X6283",0.65234375
"X6286",0.7109375
"X6288",0.6640625
"X6296",0.6484375
"X6305",0.51953125
"X6325",0.640625
"X6328",0.5859375
"X6336",0.5390625
"X6349",0.71484375
"X6351",0.55859375
"X6365",0.55078125
"X6373",0.53125
"X6382",0.640625
"X6389",0.6875
"X6390",0.56640625
"X6394",0.71875
"X6395",0.65625
"X6403",0.6640625
"X6404",0.515625
"X6439",0.85546875
"X6441",0.83984375
"X6451",0.5703125
"X6452",0.66015625
"X6476",0.890625
"X6486",0.5234375
"X6492",0.546875
"X6493",0.671875
"X6495",0.5234375
"X6508",0.58984375
"X6509",0.68359375
"X6510",0.64453125
"X6512",0.50390625
"X6514",0.6484375
"X6523",0.68359375
"X6524",0.546875
"X6533",0.50390625
"X6564",0.5546875
"X6579",0.53515625
"X6580",0.5390625
"X6583",0.69921875
"X6611",0.56640625
"X6614",0.51953125
"X6626",0.74609375
"X6658",0.71484375
"X6660",0.75390625
"X6664",0.62109375
"X6680",0.51171875
"X6707",0.59375
"X6713",0.66015625
"X6716",0.671875
"X6720",0.5078125
"X6725",0.66015625
"X6755",0.71484375
"X6757",1
"X6777",0.6875
"X6778",0.60546875
"X6805",0.51171875
"X6806",0.703125
"X6809",0.6796875
"X6812",0.98046875
"X6815",0.6484375
"X6823",0.5390625
"X6824",0.58984375
"X6830",0.6875
"X6878",0.7578125
"X6880",0.9375
"X6888",0.68359375
"X6903",0.6328125
"X6907",0.578125
"X6914",0.71875
"X6915",0.578125
"X6916",0.57421875
"X6917",0.59765625
"X6932",0.546875
"X6945",0.671875
"X6953",0.51953125
"X6954",0.77734375
"X6980",0.671875
"X6985",0.6015625
"X6988",0.90234375
"X6989",0.70703125
"X7048",0.53125
"X7058",0.67578125
"X7067",0.546875
"X7070",0.5703125
"X7078",0.5859375
"X7097",0.515625
"X7101",0.52734375
"X7103",1
"X7107",0.6875
"X7114",0.67578125
"X7126",0.53515625
"X7129",0.640625
"X7159",0.5
"X7162",0.6484375
"X7169",1
"X7188",1
"X7190",0.69921875
"X7191",0.78515625
"X7192",0.53125
"X7206",0.54296875
"X7222",0.703125
"X7282",0.55859375
"X7285",0.69921875
"X7290",0.58984375
"X7293",0.6875
"X7298",0.5625
"X7303",0.9140625
"X7308",0.65625
"X7313",0.8515625
"X7317",0.66015625
"X7334",0.57421875
"X7353",0.7109375
"X7374",0.52734375
"X7383",0.9765625
"X7384",0.5390625
"X7385",0.7890625
"X7391",0.57421875
"X7395",0.82421875
"X7403",0.515625
"X7407",0.796875
"X7423",1
"X7442",0.515625
"X7443",0.8203125
"X7452",0.9453125
"X7473",0.96875
"X7482",0.80078125
"X7490",0.5078125
"X7505",0.59765625
"X7543",0.578125
"X7566",0.58984375
"X7573",0.5703125
"X7588",0.6171875
"X7600",0.51953125
"X7603",0.59375
"X7604",0.5546875
"X7627",0.64453125
"X7631",0.65234375
"X7677",0.5234375
"X7696",0.53125
"X7712",0.6015625
"X7725",0.58203125
"X7730",0.5390625
"X7738",0.63671875
"X7759",0.53125
"X7771",0.78125
"X7775",0.890625
"X7795",0.515625
"X7802",0.53515625
"X7807",0.69921875
"X7818",0.79296875
"X7829",0.5234375
"X7830",0.5859375
"X7831",0.5546875
"X7835",0.6484375
"X7836",1
"X7843",0.72265625
"X7878",0.53125
"X7881",0.6328125
"X7882",0.66015625
"X7883",0.62109375
"X7897",0.5390625
"X7906",0.55859375
"X7912",0.65625
"X7914",0.53515625
"X7917",0.75390625
"X7921",0.81640625
"X7938",0.52734375
"X7939",0.52734375
"X7955",0.57421875
"X7961",0.62109375
"X7962",0.6015625
"X7967",0.6015625
"X7986",0.5078125
"X7994",0.515625
"X8003",0.5703125
"X8010",0.5390625
"X8011",0.6484375
"X8014",0.78515625
"X8015",0.5078125
"X8016",0.5390625
"X8047",0.76171875
"X8065",0.5625
"X8067",0.7578125
"X8072",0.66015625
"X8073",1
"X8080",0.50390625
"X8087",0.98828125
"X8107",0.703125
"X8113",0.85546875
"X8114",0.515625
"X8127",0.5
"X8134",0.7421875
"X8149",0.640625
"X8152",0.62109375
"X8154",0.87109375
"X8160",0.73828125
"X8177",0.71875
"X8185",0.6015625
"X8186",0.5078125
"X8192",0.59765625
"X8213",0.65234375
"X8230",0.65625
"X8233",0.6484375
"X8253",0.69921875
"X8275",0.80859375
"X8276",0.7734375
"X8294",0.57421875
"X8295",0.62109375
"X8298",0.90625
"X8341",0.66796875
"X8362",0.65234375
"X8363",0.58203125
"X8370",0.55078125
"X8401",0.51171875
"X8403",0.67578125
"X8405",0.56640625
"X8411",0.6796875
"X8413",0.765625
"X8416",0.54296875
"X8417",0.5625
"X8418",0.50390625
"X8435",0.51953125
"X8443",0.5
"X8450",0.515625
"X8517",0.66015625
"X8523",0.57421875
"X8529",0.57421875
"X8534",0.59765625
"X8539",0.609375
"X8542",0.55078125
"X8562",0.71484375
"X8569",0.99609375
"X8572",0.578125
"X8574",0.55859375
"X8603",0.67578125
"X8616",0.62109375
"X8636",0.52734375
"X8640",0.6953125
"X8675",0.89453125
"X8715",0.55859375
"X8719",0.5
"X8726",0.59765625
"X8729",0.69921875
"X8732",0.73046875
"X8735",0.7421875
"X8752",0.77734375
"X8755",0.70703125
"X8756",0.640625
"X8816",0.50390625
"X8822",0.8515625
"X8823",0.89453125
"X8826",0.58984375
"X8835",0.90234375
"X8842",0.7734375
"X8852",0.63671875
"X8856",0.69140625
"X8865",0.578125
"X8866",0.875
"X8894",0.734375
"X8904",0.78125
"X8905",0.5625
"X8936",0.734375
"X8952",0.89453125
"X8964",0.67578125
"X8980",0.6640625
"X8995",0.6484375
"X9005",0.58203125
"X9047",0.59375
"X9049",0.80859375
"X9050",0.5390625
"X9060",0.5546875
"X9061",0.90234375
"X9064",0.90625
"X9072",0.57421875
"X9074",0.6796875
"X9079",0.54296875
"X9085",0.5234375
"X9096",0.59375
"X9155",0.71875
"X9156",0.53515625
"X9157",1
"X9163",0.9921875
"X9174",0.90625
"X9179",0.765625
"X9180",0.56640625
"X9184",0.6953125
"X9192",0.59375
"X9196",0.73828125
"X9204",0.61328125
"X9221",0.578125
"X9227",0.515625
"X9233",0.69140625
"X9240",0.74609375
"X9248",0.515625
"X9256",1
"X9277",0.8046875
"X9279",0.65625
"X9284",0.609375
"X9290",0.5
"X9295",0.5703125
"X9306",0.53125
"X9307",0.640625
"X9308",0.5234375
"X9319",0.515625
"X9321",1
"X9329",0.50390625
"X9339",0.65234375
"X9347",0.59375
"X9383",0.546875
"X9394",0.66015625
"X9396",0.8046875
"X9403",0.6953125
"X9409",0.67578125
"X9428",0.609375
"X9429",0.55859375
"X9432",0.52734375
"X9451",0.578125
"X9453",0.52734375
"X9488",0.8671875
"X9489",0.671875
"X9494",0.79296875
"X9535",0.6015625
"X9545",0.5234375
"X9552",0.58203125
"X9562",0.5078125
"X9563",0.6484375
"X9565",0.71484375
"X9590",0.76953125
"X9592",0.8359375
"X9598",0.58203125
"X9605",0.69140625
"X9607",0.8515625
"X9612",0.5859375
"X9616",0.5703125
"X9625",0.51171875
"X9626",0.66796875
"X9658",0.75
"X9669",0.55078125
"X9678",0.8125
"X9679",0.69140625
"X9680",0.6796875
"X9705",0.53515625
"X9707",0.62890625
"X9711",0.53125
"X9733",0.50390625
"X9734",0.59765625
"X9737",0.51953125
"X9753",0.62890625
"X9756",0.53515625
"X9789",0.91015625
"X9809",0.8515625
"X9816",0.6015625
"X9859",0.5390625
"X9889",0.73828125
"X9896",0.6171875
"X9902",0.54296875
"X9905",0.6640625
"X9921",0.6015625
"X9922",0.5546875
"X9925",0.58203125
"X9927",0.5625
"X9928",0.61328125
"X9943",0.625
"X9963",0.54296875
"X9987",0.55078125
"X9988",0.73046875
"X9991",0.5703125
"X9998",0.9140625
"X10001",0.84375
"X10002",0.55078125
"X10007",0.6171875
"X10012",0.6484375
"X10014",0.5625
"X10021",0.5390625
"X10025",0.71875
"X10039",0.66015625
"X10041",0.66015625
"X10085",0.640625
"X10101",0.51953125
"X10116",0.796875
"X10121",0.6328125
"X10124",0.7265625
"X10125",0.58203125
"X10131",0.59765625
"X10138",0.546875
"X10140",0.59375
"X10145",0.85546875
"X10146",0.5078125
"X10148",0.58203125
"X10194",0.5859375
"X10204",0.5625
"X10216",0.6484375
"X10233",0.85546875
"X10234",0.5078125
"X10238",0.8984375
"X10264",0.80859375
"X10287",0.7734375
"X10301",0.60546875
"X10302",0.6171875
"X10308",0.54296875
"X10313",0.7578125
"X10326",0.58203125
"X10327",0.6484375
"X10334",0.859375
"X10337",0.7265625
"X10343",0.54296875
"X10350",0.671875
"X10361",0.51171875
"X10378",1
"X10397",0.55078125
"X10399",0.5234375
"X10409",0.64453125
"X10426",0.515625
"X10432",0.52734375
"X10435",1
"X10452",0.73046875
"X10456",0.58984375
"X10459",0.6796875
"X10461",0.96484375
"X10494",0.66796875
"X10526",0.55859375
"X10535",0.76171875
"X10539",0.64453125
"X10541",0.59375
"X10542",0.6640625
"X10556",0.5625
"X10563",0.55078125
"X10566",0.671875
"X10608",1
"X10615",0.6171875
"X10616",0.78125
"X10617",0.8046875
"X10619",0.80859375
"X10633",0.56640625
"X10640",0.79296875
"X10641",0.8671875
"X10646",0.640625
"X10650",0.69921875
"X10653",0.82421875
"X10676",0.69921875
"X10677",0.56640625
"X10703",0.5625
"X10712",0.52734375
"X10716",0.7109375
"X10720",0.61328125
"X10734",0.5234375
"X10740",0.546875
